order_id,customer_id,salesperson_id,order_date,order_status,payment_method,delivery_region,total_items,total_gross,total_discount,total_net,total_cogs,total_profit,first_name,last_name,customer_region,city,gender,age,salesperson_name,order_year,order_month,order_month_name,order_quarter,order_day_of_week,order_hour,is_weekend,is_returned,is_completed,is_high_value,age_group,order_tier,processed_at
8,204,11,2024-12-10 19:15:00,Returned,POS Card,Western,9,685.67,30.68,654.99,434.36,220.63,Kojo,Adjei,Volta,Hohoe,M,45,Nana Acheampong,2024,12,December,4,Tuesday,19,False,True,False,False,36-45,Medium,2026-04-08 09:31:11.149366
19,500,11,2024-01-26 13:26:00,Returned,Mobile Money,Volta,4,1953.57,195.36,1758.21,1439.45,318.76,Edem,Turkson,Greater Accra,Accra,M,47,Nana Acheampong,2024,1,January,1,Friday,13,False,True,False,False,46-55,Large,2026-04-08 09:31:11.149366
44,347,12,2023-10-30 17:09:00,Returned,Mobile Money,Western,1,336.31,16.82,319.49,210.91,108.58,Dela,Dziedzic,Ashanti,Konongo,M,18,Araba Quaye,2023,10,October,4,Monday,17,False,True,False,False,18-25,Small,2026-04-08 09:31:11.149366
50,298,16,2023-09-14 08:12:00,Returned,Bank Transfer,Northern,3,1107.48,0.0,1107.48,630.21,477.27,Sena,Boateng,Ashanti,Obuasi,M,37,Akua Bonsu,2023,9,September,3,Thursday,8,False,True,False,False,36-45,Large,2026-04-08 09:31:11.149366
77,373,10,2024-10-14 07:56:00,Returned,Cash,Northern,4,54.32,5.43,48.89,31.12,17.77,Adwoa,Boateng,Western,Tarkwa,F,64,Adwoa Sarpong,2024,10,October,4,Monday,7,False,True,False,False,55+,Micro,2026-04-08 09:31:11.149366
107,412,17,2024-05-30 11:21:00,Returned,Credit,Greater Accra,6,2028.78,185.09,1843.69,1350.9,492.79,Kwabena,Ofori,Central,Cape Coast,M,29,Kwadwo Appiah,2024,5,May,2,Thursday,11,False,True,False,False,26-35,Large,2026-04-08 09:31:11.149366
185,484,7,2023-03-14 20:19:00,Returned,Mobile Money,Greater Accra,2,210.5,0.0,210.5,153.34,57.16,Kwabena,Asante,Greater Accra,Madina,M,54,Kweku Adjei,2023,3,March,1,Tuesday,20,False,True,False,False,46-55,Small,2026-04-08 09:31:11.149366
204,26,13,2024-05-29 18:14:00,Returned,Credit,Ashanti,6,536.34,16.55,519.79,312.89,206.9,Akosua,Turkson,Ashanti,Ejisu,F,52,Fiifi Turkson,2024,5,May,2,Wednesday,18,False,True,False,False,46-55,Medium,2026-04-08 09:31:11.149366
255,461,5,2023-10-23 17:11:00,Returned,Mobile Money,Greater Accra,5,13376.4,0.0,13376.4,9532.5,3843.9,Abla,Boateng,Ashanti,Konongo,F,51,Yaw Amoah,2023,10,October,4,Monday,17,False,True,False,True,46-55,Enterprise,2026-04-08 09:31:11.149366
347,48,2,2023-07-17 07:01:00,Returned,Cash,Central,3,70.56,0.0,70.56,45.84,24.72,Kwabena,Asare,Volta,Aflao,M,33,Abena Mensah,2023,7,July,3,Monday,7,False,True,False,False,26-35,Micro,2026-04-08 09:31:11.149366
366,274,15,2024-07-07 17:19:00,Returned,Mobile Money,Eastern,14,5824.63,443.67,5380.96,3614.83,1766.13,Afia,Ansah,Greater Accra,Accra,F,43,Kwabena Ofori,2024,7,July,3,Sunday,17,True,True,False,True,36-45,Enterprise,2026-04-08 09:31:11.149366
400,114,19,2023-09-11 12:27:00,Returned,Credit,Central,2,181.0,9.05,171.95,128.56,43.39,Dela,Owusu,Western,Takoradi,M,32,Yoofi Agyeman,2023,9,September,3,Monday,12,False,True,False,False,26-35,Small,2026-04-08 09:31:11.149366
403,355,14,2023-03-27 15:48:00,Returned,Cash,Greater Accra,3,294.24,0.0,294.24,189.45,104.79,Ama,Owusu,Western,Prestea,F,18,Maame Asare,2023,3,March,1,Monday,15,False,True,False,False,18-25,Small,2026-04-08 09:31:11.149366
424,248,12,2023-06-25 19:16:00,Returned,Mobile Money,Ashanti,4,471.88,23.59,448.29,305.6,142.69,Esi,Quaye,Volta,Hohoe,F,43,Araba Quaye,2023,6,June,2,Sunday,19,True,True,False,False,36-45,Small,2026-04-08 09:31:11.149366
430,394,5,2023-01-26 13:59:00,Returned,Bank Transfer,Eastern,10,2991.36,198.56,2792.8,1976.4,816.4,Kojo,Agyeman,Northern,Tamale,M,41,Yaw Amoah,2023,1,January,1,Thursday,13,False,True,False,False,36-45,Large,2026-04-08 09:31:11.149366
447,135,10,2023-01-28 19:00:00,Returned,POS Card,Ashanti,1,330.94,16.55,314.39,196.84,117.55,Yoofi,Frimpong,Northern,Savelugu,M,58,Adwoa Sarpong,2023,1,January,1,Saturday,19,True,True,False,False,55+,Small,2026-04-08 09:31:11.149366
469,383,9,2023-01-30 08:09:00,Returned,Bank Transfer,Volta,2,510.3,0.0,510.3,338.74,171.56,Adwoa,Asante,Volta,Hohoe,F,33,Kojo Frimpong,2023,1,January,1,Monday,8,False,True,False,False,26-35,Medium,2026-04-08 09:31:11.149366
472,276,1,2023-10-16 09:57:00,Returned,Mobile Money,Volta,5,490.4,24.52,465.88,315.75,150.13,Fiifi,Amoah,Eastern,Suhum,M,52,Kwame Asante,2023,10,October,4,Monday,9,False,True,False,False,46-55,Small,2026-04-08 09:31:11.149366
479,411,16,2023-07-13 20:04:00,Returned,Bank Transfer,Volta,5,1918.6,0.0,1918.6,1367.95,550.65,Adjoa,Dziedzic,Greater Accra,Tema,F,63,Akua Bonsu,2023,7,July,3,Thursday,20,False,True,False,False,55+,Large,2026-04-08 09:31:11.149366
482,34,12,2023-04-15 18:59:00,Returned,Bank Transfer,Ashanti,5,12403.65,0.0,12403.65,7556.35,4847.3,Kojo,Adjei,Greater Accra,Achimota,M,21,Araba Quaye,2023,4,April,2,Saturday,18,True,True,False,True,18-25,Enterprise,2026-04-08 09:31:11.149366
543,115,1,2024-01-22 20:56:00,Returned,Credit,Central,3,1151.16,0.0,1151.16,820.77,330.39,Fiifi,Darko,Northern,Tamale,M,50,Kwame Asante,2024,1,January,1,Monday,20,False,True,False,False,46-55,Large,2026-04-08 09:31:11.149366
544,465,3,2024-10-24 16:40:00,Returned,Cash,Ashanti,4,1345.24,0.0,1345.24,843.64,501.6,Esi,Ofori,Northern,Tamale,F,41,Kofi Boateng,2024,10,October,4,Thursday,16,False,True,False,False,36-45,Large,2026-04-08 09:31:11.149366
552,447,11,2023-03-29 07:30:00,Returned,POS Card,Ashanti,11,11036.04,1501.43,9534.61,6726.22,2808.39,Akua,Ofori,Western,Tarkwa,F,46,Nana Acheampong,2023,3,March,1,Wednesday,7,False,True,False,True,46-55,Enterprise,2026-04-08 09:31:11.149366
574,92,8,2024-01-26 08:25:00,Returned,POS Card,Western,5,4182.85,418.28,3764.57,2734.85,1029.72,Dela,Asare,Volta,Hohoe,M,35,Efua Ansah,2024,1,January,1,Friday,8,False,True,False,True,26-35,Large,2026-04-08 09:31:11.149366
580,263,11,2024-10-07 13:05:00,Returned,Cash,Greater Accra,6,188.74,12.27,176.47,110.16,66.31,Ama,Darko,Central,Winneba,F,32,Nana Acheampong,2024,10,October,4,Monday,13,False,True,False,False,26-35,Small,2026-04-08 09:31:11.149366
